wavelet,level,accuracy,f1_macro,f1_weighted,std_accuracy
db2,3,0.9933333333333334,0.9924964823596089,0.9933307277823762,0.008164965809277286
db2,4,0.99,0.9887013295346628,0.9899778410889521,0.013333333333333336
db2,5,0.99,0.9887013295346628,0.9899778410889521,0.013333333333333336
db2,6,0.99,0.9887013295346628,0.9899778410889521,0.013333333333333336
db4,3,0.99,0.9887916351845547,0.9900169478091334,0.008164965809277286
db4,4,0.9866666666666667,0.9849964823596089,0.9866640611157095,0.012472191289246475
db4,5,0.99,0.9887013295346628,0.9899778410889521,0.013333333333333336
db4,6,0.99,0.9887013295346628,0.9899778410889521,0.013333333333333336
db6,3,0.99,0.9887916351845547,0.9900169478091334,0.008164965809277286
db6,4,0.9933333333333334,0.9925,0.9933333333333334,0.01333333333333333
db6,5,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
db6,6,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
db8,3,0.9933333333333334,0.9924964823596089,0.9933307277823762,0.008164965809277286
db8,4,0.9933333333333334,0.9925,0.9933333333333334,0.01333333333333333
db8,5,0.99,0.9887013295346628,0.9899778410889521,0.013333333333333336
db8,6,0.9933333333333334,0.9924026590693258,0.9932890155112377,0.008164965809277286
sym2,3,0.9933333333333334,0.9924964823596089,0.9933307277823762,0.008164965809277286
sym2,4,0.99,0.9887013295346628,0.9899778410889521,0.013333333333333336
sym2,5,0.99,0.9887013295346628,0.9899778410889521,0.013333333333333336
sym2,6,0.99,0.9887013295346628,0.9899778410889521,0.013333333333333336
sym4,3,0.99,0.9886978118942717,0.9899752355379949,0.008164965809277286
sym4,4,0.99,0.9887013295346628,0.9899778410889521,0.013333333333333336
sym4,5,0.99,0.9886978118942717,0.9899752355379949,0.008164965809277286
sym4,6,0.99,0.9886978118942717,0.9899752355379949,0.008164965809277286
sym6,3,0.99,0.9887916351845547,0.9900169478091334,0.008164965809277286
sym6,4,0.9933333333333334,0.9925,0.9933333333333334,0.01333333333333333
sym6,5,0.9933333333333334,0.9924964823596089,0.9933307277823762,0.008164965809277286
sym6,6,0.9966666666666667,0.996201329534663,0.9966445077556187,0.006666666666666687
coif1,3,0.99,0.9886978118942717,0.9899752355379949,0.008164965809277286
coif1,4,0.99,0.9887013295346628,0.9899778410889521,0.013333333333333336
coif1,5,0.9933333333333334,0.9924026590693258,0.9932890155112377,0.008164965809277286
coif1,6,0.9933333333333334,0.9924026590693258,0.9932890155112377,0.008164965809277286
coif3,3,0.99,0.9886978118942717,0.9899752355379949,0.008164965809277286
coif3,4,0.9933333333333334,0.9925,0.9933333333333334,0.01333333333333333
coif3,5,0.9899999999999999,0.9886978118942717,0.9899752355379949,0.008164965809277286
coif3,6,0.9933333333333334,0.9924026590693258,0.9932890155112377,0.008164965809277286
